Driver,QualifyingPosition,Winner,Race
ALB,10,0,Chinese Grand Prix
ALO,14,0,Chinese Grand Prix
ANT,8,0,Chinese Grand Prix
BEA,17,0,Chinese Grand Prix
BOR,19,0,Chinese Grand Prix
DOO,18,0,Chinese Grand Prix
GAS,16,0,Chinese Grand Prix
HAD,7,0,Chinese Grand Prix
HAM,5,0,Chinese Grand Prix
HUL,13,0,Chinese Grand Prix
LAW,20,0,Chinese Grand Prix
LEC,6,0,Chinese Grand Prix
NOR,3,0,Chinese Grand Prix
OCO,11,0,Chinese Grand Prix
PIA,1,1,Chinese Grand Prix
RUS,2,0,Chinese Grand Prix
SAI,12,0,Chinese Grand Prix
STR,15,0,Chinese Grand Prix
TSU,9,0,Chinese Grand Prix
VER,4,0,Chinese Grand Prix
ALB,9,0,Japanese Grand Prix
ALO,13,0,Japanese Grand Prix
ANT,6,0,Japanese Grand Prix
BEA,10,0,Japanese Grand Prix
BOR,17,0,Japanese Grand Prix
DOO,19,0,Japanese Grand Prix
GAS,11,0,Japanese Grand Prix
HAD,7,0,Japanese Grand Prix
HAM,8,0,Japanese Grand Prix
HUL,16,0,Japanese Grand Prix
LAW,14,0,Japanese Grand Prix
LEC,4,0,Japanese Grand Prix
NOR,2,0,Japanese Grand Prix
OCO,18,0,Japanese Grand Prix
PIA,3,0,Japanese Grand Prix
RUS,5,0,Japanese Grand Prix
SAI,12,0,Japanese Grand Prix
STR,20,0,Japanese Grand Prix
TSU,15,0,Japanese Grand Prix
VER,1,1,Japanese Grand Prix
ALB,16,0,Bahrain Grand Prix
ALO,14,0,Bahrain Grand Prix
ANT,4,0,Bahrain Grand Prix
BEA,20,0,Bahrain Grand Prix
BOR,18,0,Bahrain Grand Prix
DOO,11,0,Bahrain Grand Prix
GAS,5,0,Bahrain Grand Prix
HAD,12,0,Bahrain Grand Prix
HAM,9,0,Bahrain Grand Prix
HUL,15,0,Bahrain Grand Prix
LAW,17,0,Bahrain Grand Prix
LEC,3,0,Bahrain Grand Prix
NOR,6,0,Bahrain Grand Prix
OCO,13,0,Bahrain Grand Prix
PIA,1,1,Bahrain Grand Prix
RUS,2,0,Bahrain Grand Prix
SAI,8,0,Bahrain Grand Prix
STR,19,0,Bahrain Grand Prix
TSU,10,0,Bahrain Grand Prix
VER,7,0,Bahrain Grand Prix
ALB,11,0,Saudi Arabian Grand Prix
ALO,13,0,Saudi Arabian Grand Prix
ANT,6,0,Saudi Arabian Grand Prix
BEA,15,0,Saudi Arabian Grand Prix
BOR,20,0,Saudi Arabian Grand Prix
DOO,17,0,Saudi Arabian Grand Prix
GAS,9,0,Saudi Arabian Grand Prix
HAD,14,0,Saudi Arabian Grand Prix
HAM,10,0,Saudi Arabian Grand Prix
HUL,18,0,Saudi Arabian Grand Prix
LAW,12,0,Saudi Arabian Grand Prix
LEC,5,0,Saudi Arabian Grand Prix
NOR,4,0,Saudi Arabian Grand Prix
OCO,19,0,Saudi Arabian Grand Prix
PIA,2,1,Saudi Arabian Grand Prix
RUS,3,0,Saudi Arabian Grand Prix
SAI,8,0,Saudi Arabian Grand Prix
STR,16,0,Saudi Arabian Grand Prix
TSU,7,0,Saudi Arabian Grand Prix
VER,1,0,Saudi Arabian Grand Prix
ALB,7,0,Miami Grand Prix
ALO,17,0,Miami Grand Prix
ANT,4,0,Miami Grand Prix
BEA,20,0,Miami Grand Prix
BOR,13,0,Miami Grand Prix
DOO,14,0,Miami Grand Prix
GAS,18,0,Miami Grand Prix
HAD,11,0,Miami Grand Prix
HAM,12,0,Miami Grand Prix
HUL,16,0,Miami Grand Prix
LAW,15,0,Miami Grand Prix
LEC,8,0,Miami Grand Prix
NOR,2,0,Miami Grand Prix
OCO,9,0,Miami Grand Prix
PIA,2,1,Miami Grand Prix
RUS,5,0,Miami Grand Prix
SAI,6,0,Miami Grand Prix
STR,19,0,Miami Grand Prix
TSU,10,0,Miami Grand Prix
VER,1,0,Miami Grand Prix
ALB,6,0,Monaco Grand Prix
ALO,8,0,Monaco Grand Prix
ANT,15,0,Monaco Grand Prix
BEA,17,0,Monaco Grand Prix
BOR,16,0,Monaco Grand Prix
COL,20,0,Monaco Grand Prix
GAS,18,0,Monaco Grand Prix
HAD,7,0,Monaco Grand Prix
HAM,4,0,Monaco Grand Prix
HUL,14,0,Monaco Grand Prix
LAW,10,0,Monaco Grand Prix
LEC,2,0,Monaco Grand Prix
NOR,1,1,Monaco Grand Prix
OCO,9,0,Monaco Grand Prix
PIA,3,0,Monaco Grand Prix
RUS,13,0,Monaco Grand Prix
SAI,11,0,Monaco Grand Prix
STR,19,0,Monaco Grand Prix
TSU,12,0,Monaco Grand Prix
VER,5,0,Monaco Grand Prix
ALB,11,0,Spanish Grand Prix
ALO,10,0,Spanish Grand Prix
ANT,6,0,Spanish Grand Prix
BEA,15,0,Spanish Grand Prix
BOR,12,0,Spanish Grand Prix
COL,19,0,Spanish Grand Prix
GAS,8,0,Spanish Grand Prix
HAD,9,0,Spanish Grand Prix
HAM,5,0,Spanish Grand Prix
HUL,16,0,Spanish Grand Prix
LAW,13,0,Spanish Grand Prix
LEC,7,0,Spanish Grand Prix
NOR,2,0,Spanish Grand Prix
OCO,17,0,Spanish Grand Prix
PIA,1,1,Spanish Grand Prix
RUS,3,0,Spanish Grand Prix
SAI,18,0,Spanish Grand Prix
TSU,20,0,Spanish Grand Prix
VER,3,0,Spanish Grand Prix
ALB,10,0,Canadian Grand Prix
ALO,6,0,Canadian Grand Prix
ANT,4,0,Canadian Grand Prix
BEA,14,0,Canadian Grand Prix
BOR,16,0,Canadian Grand Prix
COL,12,0,Canadian Grand Prix
GAS,20,0,Canadian Grand Prix
HAD,9,0,Canadian Grand Prix
HAM,5,0,Canadian Grand Prix
HUL,13,0,Canadian Grand Prix
LAW,19,0,Canadian Grand Prix
LEC,8,0,Canadian Grand Prix
NOR,7,0,Canadian Grand Prix
OCO,15,0,Canadian Grand Prix
PIA,3,0,Canadian Grand Prix
RUS,1,1,Canadian Grand Prix
SAI,17,0,Canadian Grand Prix
STR,18,0,Canadian Grand Prix
TSU,11,0,Canadian Grand Prix
VER,2,0,Canadian Grand Prix
